File,Interaction,Gender,Original_Duration,Duration,Emotion,Emotion_Id,Valence,Activation,Dominance,min_zcr,spikes_zcr,var_mel_spect,spikes_mel_spect,thpercentile25_chroma_stft,spikes_chroma_stft,mean_spec_bw,max_spec_bw,thpercentile25_rms,var_mfcc1,var_mfcc3,max_mfcc5,var_mfcc5,median_mfcc5,spikes_mfcc6,thpercentile75_mfcc7,max_mfcc7,var_mfcc8,sum_mfcc10,max_mfcc10,thpercentile75_mfcc11,max_mfcc11,sum_mfcc12,kurtosis_mfcc12,mean_mfcc13,mean_mfcc15,spikes_mfcc16,kurtosis_mfcc17,mean_mfcc17,kurtosis_mfcc18,spikes_mfcc19,mean_mfcc19,mean_mfcc20
Ses01F_impro01_F000,improvised,Female,1.9455625,1.9455625,neutral,3,2.5000,2.5000,2.5000,0.04345703125,0.32786885245901637,0.007009544875472784,0.025102459016393443,0.0013484578422503547,0.5081967213114754,1684.3645175499732,2535.7632504948824,0.0005306907201884315,4185.7705078125,394.0721130371094,16.80902099609375,330.9674072265625,-9.941228866577148,0.5081967213114754,-45.872304153442386,7.829632759094238,92.48480224609375,483.1651306152344,31.13979721069336,-32.76398677825928,11.028388023376465,274.63690185546875,1.8476253184599658,-1.5405807495117188,-2.3252317905426025,0.3114754098360656,-0.8423588065987682,-0.43068501353263855,-0.28973632071368316,0.5245901639344263,-0.6937511563301086,-0.24378842115402222
Ses01F_impro01_F001,improvised,Female,1.3824375,0.352,neutral,3,2.5000,2.5000,2.5000,0.0498046875,0.5,0.6089054942131042,0.1328125,0.0018772150279255584,0.4097222222222222,1151.3887688437185,1629.6265673847452,0.0012431926655699498,18228.98046875,2818.881103515625,18.545093536376953,610.8412475585938,-14.918634414672852,0.6666666666666666,-56.23541180610657,4.919745445251465,180.0740966796875,-113.07606506347656,2.3787448406219482,-25.68206094741821,11.80357837677002,-105.53195190429688,-1.1615979717787435,4.465957164764404,0.8644039034843445,0.5,-1.1479059570512264,1.4876136779785156,-0.7710544945046203,0.4166666666666667,-4.913715839385986,-5.2218852043151855
Ses01F_impro01_F002,improvised,Female,3.13025,2.592,neutral,3,2.5000,2.5000,2.5000,0.0263671875,0.2682926829268293,0.03795066848397255,0.06021341463414634,0.01332248978316784,0.4532520325203252,1407.5619872037498,2461.6646196693805,0.0005000525385548826,9165.4853515625,1010.1376953125,18.643726348876953,446.68817138671875,-3.2741262912750244,0.4268292682926829,-80.31806436538696,13.199748039245605,121.3797607421875,327.78167724609375,17.55528450012207,-34.22779417037964,13.347188949584961,411.96826171875,1.4605402493307063,0.620563268661499,-0.5294018983840942,0.6097560975609756,1.3812242688354113,1.174922227859497,1.7948210765493666,0.573170731707317,-2.5344903469085693,1.6092641353607178
Ses01F_impro01_F005,improvised,Female,4.0299375,2.72,neutral,3,2.5000,3.5000,2.0000,0.03271484375,0.3023255813953488,13.333802223205566,0.09302325581395349,0.0008308695544837974,0.3226744186046512,1327.0269493898115,2135.6866288128485,0.0023699463868979364,6603.431640625,1608.522216796875,24.463542938232422,664.3348388671875,-25.59890365600586,0.4883720930232558,-68.86335945129395,24.54275131225586,349.9643249511719,-322.6689758300781,14.604009628295898,-38.55809626579285,13.070301055908203,-349.9682922363281,0.2870413576178179,-5.985569477081299,-13.463417053222656,0.5232558139534884,0.6587821868216146,-3.1548547744750977,0.5379678224988953,0.4418604651162791,3.5222320556640625,-3.5592994689941406
Ses01F_impro01_F012,improvised,Female,2.75,1.504,angry,0,2.0000,3.5000,3.5000,0.033203125,0.3958333333333333,26.276113510131836,0.11067708333333333,0.005603205907391384,0.3663194444444444,1171.4533809274774,2389.9446705268574,0.005688694472191855,9978.5732421875,3357.083251953125,0.15305344760417938,560.9735717773438,-32.11792755126953,0.5208333333333334,-49.32859944343567,22.801294326782227,47.17280960083008,-23.50389862060547,23.754314422607422,-28.84306263923645,9.88531494140625,-128.06683349609375,-0.32090545307082596,-8.757205963134766,-8.404854774475098,0.5,0.8667024424787257,-5.472984313964844,-0.6997756195786904,0.5416666666666666,-3.8279380798339844,-3.6502017974853516
Ses01F_impro01_F014,improvised,Female,5.07,4.814,neutral,3,2.5000,3.5000,3.5000,0.00927734375,0.423841059602649,0.3086740970611572,0.10699503311258278,0.0023757827840745448,0.434878587196468,1335.9886880289196,2398.903023763801,0.0006264459734666161,12865.4296875,1980.598876953125,32.6764030456543,431.492431640625,-0.7358463406562805,0.543046357615894,-82.09071159362793,29.979524612426758,236.5186004638672,-112.4356689453125,41.42736053466797,-38.504026651382446,24.131736755371094,-226.2503662109375,1.0467171270210436,-5.744776725769043,-12.719215393066406,0.5562913907284768,3.645630604853971,-3.2104976177215576,4.690055500543765,0.4503311258278146,1.3915958404541016,0.6155688166618347
Ses01F_impro01_M011,improvised,Male,7.2399375,5.792,angry,0,2.0000,4.0000,4.0000,0.03515625,0.31868131868131866,12.067476272583008,0.07554945054945054,0.0003256618173327298,0.391025641025641,1344.6253257180367,2469.618969291284,0.002461257895338349,7753.79541015625,1942.8505859375,51.41368103027344,531.6351318359375,-10.310907363891602,0.41208791208791207,-57.47589373588562,29.397750854492188,229.90234375,-1597.24560546875,21.892074584960938,-35.86656753540039,27.47498321533203,702.997802734375,-0.41795882434285714,-12.990432739257812,-8.325946807861328,0.5494505494505495,0.6917348891880803,-5.373587608337402,4.981666393614487,0.4725274725274725,-3.0425472259521484,-3.055591583251953
Ses01F_impro01_M013,improvised,Male,6.0299375,4.576,angry,0,2.0000,4.5000,4.5000,0.015625,0.4027777777777778,407.2830810546875,0.10416666666666667,0.001827913608867675,0.36516203703703703,1270.5949481309474,2383.504015479391,0.002257290596025996,11448.6962890625,1354.57568359375,38.763423919677734,495.7453918457031,-17.803192138671875,0.5625,-58.84791292190552,24.368568420410156,213.74766540527344,-62.11054992675781,24.813125610351562,-42.04950128555298,14.746930122375488,573.6219482421875,-0.6021239835331889,-14.803102493286133,-11.040411949157715,0.4583333333333333,0.22716752383613814,-4.960395812988281,3.757812099151627,0.4652777777777778,-0.7542498111724854,6.866282939910889
Ses01F_impro02_F000,improvised,Female,9.3311875,9.3311875,sad,2,2.5000,2.0000,1.5000,0.0302734375,0.18493150684931506,0.0009390838094986975,0.03424657534246575,0.0035472673212643712,0.4706050228310502,1402.6800262015418,2541.905763635837,0.0005331240831583273,2162.173828125,284.6468811035156,20.027700424194336,63.642215728759766,-0.2789311408996582,0.5787671232876712,-46.419687356948856,6.778322219848633,53.2691650390625,955.0528564453125,25.254047393798828,-28.389913468360902,13.015527725219727,629.6158447265625,3.829848108946898,0.12502795457839966,-0.8478410243988037,0.5273972602739726,0.3013603455905738,0.30987104773521423,0.7621715932922717,0.5171232876712328,2.8522679805755615,-0.8370718955993652
Ses01F_impro02_F001,improvised,Female,2.93,2.93,sad,2,2.0000,1.5000,1.5000,0.0263671875,0.40217391304347827,0.00015469823847524822,0.051970108695652176,0.009082573011983185,0.49818840579710144,1431.3240642268604,1922.0151521488508,0.0005566839112725575,1391.1787109375,126.5495376586914,5.172337532043457,27.24917221069336,-8.809657096862793,0.6956521739130435,-28.183730087280274,-1.6786339282989502,41.098636627197266,810.7546997070312,18.022239685058594,-22.090463600158692,15.612007141113281,727.29443359375,0.7968114112313516,-2.172091007232666,-1.9058090448379517,0.4673913043478261,3.036360562203696,-2.3523736000061035,0.41120970668834067,0.6086956521739131,2.0643792152404785,-0.5482949614524841
