File,Original_Duration,Duration,Emotion,Emotion_Id,min_zcr,spikes_zcr,var_mel_spect,spikes_mel_spect,thpercentile25_chroma_stft,spikes_chroma_stft,mean_spec_bw,max_spec_bw,thpercentile25_rms,var_mfcc1,var_mfcc3,max_mfcc5,var_mfcc5,median_mfcc5,spikes_mfcc6,thpercentile75_mfcc7,max_mfcc7,var_mfcc8,sum_mfcc10,max_mfcc10,thpercentile75_mfcc11,max_mfcc11,sum_mfcc12,kurtosis_mfcc12,mean_mfcc13,mean_mfcc15,spikes_mfcc16,kurtosis_mfcc17,mean_mfcc17,kurtosis_mfcc18,spikes_mfcc19,mean_mfcc19,mean_mfcc20
1001_DFA_ANG_XX,2.2755625,2.2755625,anger,0,0.0712890625,14,25.44782066345215,456,0.01122903362615034,170,1710.2438840147245,3003.1626331130797,0.002424578058999032,11210.1728515625,1477.4736328125,25.923229217529297,621.3403930664062,3.3425869941711426,14,-50.66877746582031,16.41435432434082,335.0928955078125,-650.6046752929688,-3.786874771118164,-10.803317985534669,18.82442855834961,-420.5104064941406,-0.5719969880545941,-6.612342834472656,-19.42130470275879,18,-0.8218034164221466,-0.3574873208999634,-0.5572768136449269,19,-7.4534101486206055,-9.137667655944824
1001_DFA_HAP_XX,1.8685,1.8685,happy,1,0.04638671875,13,33.650089263916016,373,0.01615073997993022,135,1723.3042618042095,2579.531197413727,0.004017441719770432,12825.767578125,1201.073486328125,29.879322052001953,449.9329833984375,-2.2192881107330322,14,-44.24605133056641,11.361526489257812,234.9039306640625,-707.3281860351562,-9.131769180297852,-11.512759990692139,25.946144104003906,-273.3033142089844,-0.04946637946737509,-12.967184066772461,-16.927892684936523,18,-0.6257837835021651,-1.1190919876098633,-0.9887477804613334,14,-3.9571781158447266,-4.148773670196533
1001_DFA_NEU_XX,2.035375,2.035375,neutral,2,0.04541015625,15,5.268502712249756,312,0.014033118181396275,149,1649.74037254452,2625.052128511589,0.0014448669366538525,9234.0625,760.4077758789062,56.54193115234375,717.6802978515625,5.298934459686279,15,-50.84155014038086,18.435062408447266,232.5175018310547,-475.7252197265625,6.4356689453125,-25.111209259033203,27.996440887451172,-414.3251037597656,-0.8603547991440075,-0.7035238146781921,-17.09972381591797,18,-0.036084462440431064,-4.410867214202881,0.10064935504358896,13,-7.6412353515625,-6.4517292976379395
1001_DFA_SAD_XX,2.002,2.002,sad,3,0.01904296875,23,0.07285020500421524,597,0.040510762259364126,306,1767.942308947975,2940.6021303305383,0.0009258468326879666,18223.3984375,881.0227661132812,73.7049560546875,247.08851623535156,18.75193977355957,40,-54.89420678138733,20.435749053955078,179.23199462890625,-725.0482788085938,8.92337417602539,-16.442748193740844,23.335620880126953,-568.9216918945312,-0.09996535900528425,-5.6546735763549805,-14.237752914428711,32,1.2408731570145681,-5.275074481964111,0.3281674399059593,35,-7.112603664398193,-7.458727836608887
1001_IEO_ANG_HI,1.93525,1.93525,anger,0,0.04443359375,17,35.55878448486328,478,0.006603593510808423,179,1677.7553599067555,2980.8485211692564,0.0020290841738460587,8607.1953125,2063.344482421875,43.55534362792969,2677.10302734375,-20.457595825195312,21,-70.26100402832031,27.83883285522461,766.22509765625,-772.6246337890625,11.20899772644043,-3.7871483528614043,36.951568603515625,-664.71142578125,-0.21476579835055043,-6.319615840911865,-24.918149948120117,20,-0.5650400312190325,-14.03759479522705,-0.3976645085505237,18,-6.4418511390686035,-5.002579689025879
1001_IEO_ANG_LO,2.06875,2.06875,anger,0,0.03515625,10,1.5871641635894775,317,0.021716216318309306,138,1731.3314042421375,2656.680444344545,0.0012947901047300548,10157.6328125,1514.6064453125,44.85954284667969,2288.732177734375,-3.5461788177490234,15,-50.47273544311523,15.895448684692383,411.78375244140625,-402.77984619140625,-0.6747287511825562,-7.850781888961792,36.98576354980469,-444.31829833984375,-0.5618728726888049,-8.14297866821289,-23.122201919555664,14,-1.022292414235987,-14.931656837463379,-0.9875183015341538,11,-8.422270774841309,-7.807385444641113
1001_IEO_ANG_MD,2.6359375,2.6359375,anger,0,0.01708984375,20,0.291487455368042,686,0.010504593225196004,276,1613.7631641108708,2746.0354611423973,0.0007941579204634764,14307.0126953125,1901.840087890625,60.927459716796875,2304.875,10.174331665039062,37,-39.70685863494873,29.204692840576172,588.277099609375,-832.7142944335938,11.736270904541016,-12.14667320728302,62.682579040527344,-955.5941162109375,-0.7644225394271902,-6.08604097366333,-17.978111267089844,23,-0.27041809458307986,-10.389339447021484,-0.8977306285249003,35,-7.411565780639648,-4.7514753341674805
1001_IEO_HAP_HI,1.7684375,1.7684375,happy,1,0.0830078125,16,59.95509719848633,435,0.0009521612703974824,176,1687.5578579059734,3032.3141854964724,0.003038210484664887,6160.33349609375,1247.45751953125,53.19552230834961,1953.00439453125,-15.081039428710938,18,-44.02875486373901,10.88548755645752,790.1907348632812,-566.7356567382812,16.105571746826172,-11.116708784103393,22.921754837036133,-423.0859069824219,0.041337061920021956,-8.267899513244629,-17.435876846313477,19,-0.5357783892284176,-9.635393142700195,-0.46717091220706,18,-9.1644287109375,-6.641672611236572
1001_IEO_HAP_LO,1.7016875,1.7016875,happy,1,0.03857421875,7,1.327471375465393,342,0.021175158992409706,113,1700.936460626342,2631.4242823103205,0.001400542224291712,9251.3271484375,1127.622314453125,54.72710418701172,2118.758544921875,-16.698532104492188,13,-51.76220764160156,14.68747329711914,588.759033203125,-485.531005859375,-6.417830467224121,-7.0293366241455075,50.34112548828125,-452.47314453125,-1.2200599116206727,-1.1926692724227905,-23.233083724975586,7,-0.054611353725027456,-8.601713180541992,-0.6170840431971696,15,-11.447537422180176,-4.442723274230957
1001_IEO_HAP_MD,1.6683125,1.6683125,happy,1,0.044921875,9,11.335491180419922,277,0.007750181881710887,128,1731.8224292391608,2961.5730072137885,0.0013633099291473626,9918.384765625,1946.0157470703125,46.583229064941406,1905.86767578125,-8.808284759521484,15,-39.57128074645996,9.460653305053711,473.943359375,-364.1220703125,15.484040260314941,-12.020618286132812,44.46307373046875,-357.7415771484375,-0.9414009571990065,-4.144476890563965,-22.49567222595215,10,0.3159327124021378,-8.234930992126465,-0.8160024760410409,14,-9.977540016174316,-4.110785484313965
